date,platform,campaign,ad_set,creative,impressions,clicks,spend_sgd,purchases,revenue_sgd,tracking_status,experiment_id,experiment_arm,asset_version,copy_version,simulation_status
2026-07-20,Meta,HydraLoop Launch,Commuters,Leak-Resistance Concept A,24800,471,120.00,28,1344,ok,EXP-01,Treatment,concept-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
2026-07-20,Meta,HydraLoop Launch,Runners,Refill Reset A,21900,394,100.00,31,1488,ok,BENCH-01,Reference,asset-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
2026-07-20,Google Ads,HydraLoop Search,Brand Intent,Search A,18200,638,245.84,42,2016,ok,SEARCH-SIM-01,Reference,asset-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
2026-07-21,Meta,HydraLoop Launch,Commuters,Leak-Resistance Concept A,26700,508,125.00,30,1440,ok,EXP-01,Treatment,concept-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
2026-07-21,Meta,HydraLoop Launch,Runners,Refill Reset A,23300,426,105.00,32,1536,ok,BENCH-01,Reference,asset-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
2026-07-21,Google Ads,HydraLoop Search,Brand Intent,Search A,19100,664,255.89,45,2160,ok,SEARCH-SIM-01,Reference,asset-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
2026-07-22,Meta,HydraLoop Launch,Commuters,Leak-Resistance Concept A,27500,495,135.00,22,1056,ok,EXP-01,Treatment,concept-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
2026-07-22,Meta,HydraLoop Launch,Runners,Refill Reset A,24500,438,110.00,34,1632,ok,BENCH-01,Reference,asset-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
2026-07-22,Google Ads,HydraLoop Search,Brand Intent,Search A,19600,672,261.91,46,2208,ok,SEARCH-SIM-01,Reference,asset-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
2026-07-23,Meta,HydraLoop Launch,Commuters,Leak-Resistance Concept A,28100,478,150.00,15,720,ok,EXP-01,Treatment,concept-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
2026-07-23,Meta,HydraLoop Launch,Runners,Refill Reset A,25100,442,115.00,35,1680,ok,BENCH-01,Reference,asset-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
2026-07-23,Google Ads,HydraLoop Search,Brand Intent,Search A,20500,690,273.84,47,2256,ok,SEARCH-SIM-01,Reference,asset-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
2026-07-24,Meta,HydraLoop Launch,Commuters,Leak-Resistance Concept A,29800,451,170.00,8,384,partial,EXP-01,Treatment,concept-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
2026-07-24,Meta,HydraLoop Launch,Runners,Refill Reset A,25900,447,120.00,36,1728,ok,BENCH-01,Reference,asset-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
2026-07-24,Google Ads,HydraLoop Search,Brand Intent,Search A,21800,711,288.61,49,2352,ok,SEARCH-SIM-01,Reference,asset-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
2026-07-25,Meta,HydraLoop Launch,Commuters,Leak-Resistance Concept A,30200,439,175.00,6,288,partial,EXP-01,Treatment,concept-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
2026-07-25,Meta,HydraLoop Launch,Runners,Refill Reset A,26300,452,123.00,36,1728,ok,BENCH-01,Reference,asset-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
2026-07-25,Google Ads,HydraLoop Search,Brand Intent,Search A,22400,726,296.42,50,2400,ok,SEARCH-SIM-01,Reference,asset-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
