post_id,date,platform,format,theme,reach,impressions,clicks,likes,comments,shares,saves,video_views,spend_sgd,calendar_item_id,experiment_id,experiment_arm,asset_version,copy_version,simulation_status
P01,2026-07-13,Instagram,Reel,3pm refill reset,18400,22100,486,1320,88,210,340,14600,0,CAL-01,EXP-01,Control,asset-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
P02,2026-07-14,LinkedIn,Carousel,office hydration habit,6200,7400,214,286,31,44,98,0,0,CAL-03,BENCH-01,Reference,asset-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
P03,2026-07-15,Facebook,Image,commute bag leak test,12900,15800,371,604,74,126,182,0,0,CAL-04,BENCH-01,Reference,asset-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
P04,2026-07-16,X,Text,one-line refill reminder,9100,12400,118,202,27,39,14,0,0,CAL-05,BENCH-01,Reference,asset-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
P05,2026-07-18,Instagram,Carousel,three bottle colours,16300,19700,298,1010,145,92,506,0,0,CAL-06,BENCH-01,Reference,asset-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
P06,2026-07-19,Facebook,Video,five-second lid clean,11200,14900,252,518,68,104,156,8600,0,CAL-07,BENCH-01,Reference,asset-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
P07,2026-07-20,LinkedIn,Text,team wellbeing bundle,5400,6100,126,184,22,31,47,0,0,CAL-08,BENCH-01,Reference,asset-v0.1,copy-v0.1,SANDBOX_SIMULATION_UNPUBLISHED
P08,2026-07-21,Instagram,Reel,celebrity bottle rumour,22700,28400,192,840,214,61,44,18100,0,LEGACY-FAIL-01,GOV-FAIL-01,negative-control,legacy-rumour-v0.1,legacy-rumour-v0.1,SIMULATED_CONTROL_FAILURE_DO_NOT_REUSE
P09,2026-07-22,X,Text,hotter day reminder,13800,18100,338,402,96,112,23,0,0,BENCHMARK-09,BENCH-01,Reference,asset-v0.1,copy-v0.1,SANDBOX_BENCHMARK_OUTSIDE_LAB8_UNPUBLISHED
P10,2026-07-23,Instagram,Image,HydraLoop launch offer,17600,20500,522,1180,103,164,296,0,0,CAL-02,EXP-01,Treatment,asset-v0.2,copy-v0.2,SANDBOX_SIMULATION_UNPUBLISHED
