comment_id,post_id,channel,comment_text
C01,P10,Instagram,"Love the blue, but is the cap actually leak-resistant?"
C02,P10,Instagram,"SGD 48 feels expensive unless it lasts."
C03,P01,Instagram,"The 3pm reminder is exactly what I need."
C04,P03,Facebook,"Mine always leaks in my laptop bag, show us a proper test."
C05,P05,Instagram,"Forest green please!"
C06,P08,Instagram,"Which celebrity uses this? I cannot find any source."
C07,P08,Instagram,"This feels misleading."
C08,P06,Facebook,"Can the rubber seal be removed for cleaning?"
C09,P02,LinkedIn,"A team bundle would be useful for our wellness month."
C10,P10,Instagram,"Does LOOP10 work for all colours?"
C11,P09,X,"Useful reminder, but please do not make health claims."
C12,P05,Instagram,"Can you show the coral bottle in daylight?"
